predicted_rank,musher_id,name,rookie,p_won,p_top5,p_top10,p_finished,volatility,composite_rank
1,1052,Jessie Holmes,,0.11901981493198154,0.5025818927212835,0.73028651565649,0.8998831101641509,16.7,1.1
2,1044,Matt Hall,,0.08706460798901997,0.4625361809882376,0.7040122185477132,0.8966593794040184,19.4,2.1
3,400,Paige Drobny,,0.07048321329523856,0.4280608250569059,0.6808327659231743,0.880265613879649,20.5,3.6
4,344,Michelle Phillips,,0.05726219729939288,0.4423057091201926,0.6797387102017695,0.8598424918560145,20.2,5.5
5,394,Travis Beals,,0.06922031971912332,0.35835407427850924,0.6317257054647815,0.8598617477266217,15.9,5.75
6,83,Ryan Redington,,0.05895043935961499,0.2916418210556079,0.5776588645164141,0.868400379206643,18.6,6.3500000000000005
7,1077,Mille Porsild,,0.05727461892622119,0.26666248436073603,0.5531121425559254,0.8737939272545378,22.0,6.85
8,994,Thomas Waerner,,0.2829883144070902,0.35617267065155944,0.2969557533887412,0.8953167556456106,61.3,8.75
9,1127,Bailey Vitello,,0.0030797950849817597,0.20388703178308223,0.49179345711194244,0.8665288326432401,34.5,9.2
10,359,Peter Kaiser,,0.05044909306247734,0.21077624967382896,0.4175276103334265,0.8587317792761799,19.2,9.6
11,328,Wade Marrs,,0.06884634044380254,0.23925786294946558,0.3851728825551168,0.8342896122715253,29.4,11.0
12,45,Jessie Royer,,0.02090512875273277,0.19319110801649908,0.38566467914833935,0.8512507233856184,22.9,11.2
13,1131,Josi (Thyr) Shelley,,0.0064670988280875535,0.1777033757990424,0.38240140438276243,0.8267183690811827,33.9,14.600000000000001
14,1096,Chad Stoddard,,0.04028858554227991,0.19413857115677613,0.3013187028497478,0.8113965837348832,47.6,16.85
15,290,Jeff Deeter,,0.0034631853006357413,0.11532945397805323,0.3615522893084445,0.7902529160106078,23.4,18.6
16,1166,Jesse Terry,R,0.000117361068054346,0.051050903237387237,0.10668110486349902,0.8491625316839398,52.0,19.5
17,80,Jason Mackey,,0.00039193338097714227,0.07139767252087788,0.21436790833916688,0.8279100498148727,22.4,19.65
18,1134,Lauro Eklund,,0.00031967738696167384,0.07702344106232786,0.2462942903827127,0.8120723406642,33.5,19.8
19,1080,Riley Dyche,,0.0007276917199322779,0.09474299769616903,0.31446370698785164,0.7837768413648757,29.3,20.05
20,1167,Kevin Hansen,R,3.9846874038430795e-05,0.03820912721895692,0.08244443401338275,0.8431818571090162,52.0,20.950000000000003
21,1116,Hanna Lyrek,,0.001848831436813789,0.11449959798100606,0.19740295029072186,0.8053369749923031,40.5,21.25
22,1152,Keaton Loebrich,,0.0004785421847257028,0.07639937156873598,0.24398511268782447,0.7908723120353564,30.4,21.75
23,1168,Jody Potts-Joseph,R,8.139478377707716e-06,0.023656991043687688,0.05362692782494642,0.8280735553196571,52.0,23.35
24,1115,Jaye Foucher,R,8.139478377707716e-06,0.023656991043687688,0.05362692782494642,0.8280735553196571,52.0,23.35
25,1075,Gabe Dunham,,0.00014598020786536425,0.0547683530236414,0.21681850216090043,0.7097757567383416,31.0,23.7
26,1164,Adam Lindenmuth,R,2.3101662934477966e-06,0.015977885432669585,0.036682328960235135,0.8201071899666961,52.0,25.85
27,1170,Sam Paperman,R,2.3101662934477966e-06,0.015977885432669585,0.036682328960235135,0.8201071899666961,52.0,25.85
28,1171,Sadie Lindquist,R,2.3101662934477966e-06,0.015977885432669585,0.036682328960235135,0.8201071899666961,52.0,25.85
29,1163,Joseph Sabin,R,2.3101662934477966e-06,0.015977885432669585,0.036682328960235135,0.8201071899666961,52.0,25.85
30,1085,Grayson Bruton,,6.991822121094276e-05,0.04215400767252472,0.06361983758015285,0.6015670044648019,47.0,26.650000000000002
31,1155,Sydnie Bahl,R,3.8280861646761304e-07,0.00787168295042253,0.010824004761059783,0.8288614615704686,34.8,29.450000000000003
32,284,Rohn Buser,,6.771694251650427e-05,0.024337788230505218,0.0043940608892884415,0.8098790597529018,60.1,29.65
33,1103,Brenda Mackey,R,3.7860085024867757e-07,0.0076319554294010435,0.010443840219381417,0.8350443345021713,34.8,29.700000000000003
34,1169,Sam Martin,R,6.487489322014658e-07,0.01049938676984465,0.0252657887890259,0.791272443744332,52.0,31.450000000000003
35,1165,Kjell Rokke,R,6.487489322014658e-07,0.01049938676984465,0.0252657887890259,0.791272443744332,52.0,31.450000000000003
36,1069,Richie Beattie,R,2.169104963143587e-06,0.012039295642887929,0.00363397234799913,0.817497739404979,51.5,31.85
